# http://fitlayout.github.io/resource/art57 -> https://www.imdb.com/title/tt6548228/fullcredits/
character=Guard	name=Brendan Egan	episodes=1 episode, 2018 	
character=Prison Inmate	name=Alex Ziwak	episodes=1 episode, 2018 	
character=Juror	name=Marcus McDermott	episodes=1 episode, 2018 	
character=Church-Goer	name=Angela Hurley	episodes=1 episode, 2018 	
character=Police Officer	name=James J. LaBonte	episodes=1 episode, 2018 	
character=Mental Patient	name=Nathan Porter	episodes=1 episode, 2018 	
character=Evangelist	name=Jack Cercone	episodes=1 episode, 2018 	
character=Parisioner	name=Rob Lévesque	episodes=1 episode, 2018 	
character=Tower Guard	name=Ted Opalinski	episodes=1 episode, 2018 	
character=Guard	name=Brian E. Stead	episodes=1 episode, 2018 	
character=Karaoke Singer	name=Brien	episodes=1 episode, 2018 	
character=Karaoke Singer	name=Danny O	episodes=1 episode, 2018 	
character=Bar Patron	name=Kevin Daigneault	episodes=1 episode, 2018 	
character=Inmate 161834	name=Lou Consolo	episodes=1 episode, 2018 	
character=Bridesmaid	name=Olga N. Bogdanova	episodes=1 episode, 2018 	
character=Shawshank Prisoner	name=Josiah Harvey	episodes=1 episode, 2018 	
character=Server	name=Terry Monfet	episodes=1 episode, 2018 	
character=Bar Patron	name=Gwen MacKay	episodes=1 episode, 2018 	
character=Inmate	name=Ken Kansky	episodes=1 episode, 2018 	
character=Shawshank Inmate	name=Joe Maurer	episodes=1 episode, 2018 	
character=Prison Inmate	name=Chris Breen	episodes=1 episode, 2018 	
character=Prison Inmate	name=Lloyd Crago	episodes=1 episode, 2018 	
character=Prisoner	name=Franco Pinacchio	episodes=1 episode, 2018 	
character=Bridge Dedication Guest	name=James L. Leite	episodes=1 episode, 2018 	
character=Parent	name=Harold Rudolph	episodes=1 episode, 2018 	
character=Inmate	name=Chris Marko	episodes=1 episode, 2018 	
character=Resident	name=Tom Granger	episodes=1 episode, 2018 	
character=Mustache Teen	name=David J. Flores	episodes=1 episode, 2018 	
character=Resident	name=Jack Shipley	episodes=1 episode, 2018 	
character=Ghost Parishioner	name=Timothy DuBois	episodes=1 episode, 2018 	
character=Football Fan	name=Creighton Jones Jr.	episodes=1 episode, 2018 	
character=Bridge Dedication Guest	name=Carissa Roy	episodes=1 episode, 2018 	
character=Firefighter	name=Christopher Nardizzi	episodes=1 episode, 2018 	
character=Bar Patron	name=Jed Griswold	episodes=1 episode, 2018 	
character=Bowler	name=Brian West	episodes=1 episode, 2018 	
character=Bowler	name=Sheila Salaverry	episodes=1 episode, 2018 	
character=Maine State Trooper	name=Bradley A. Boyd	episodes=1 episode, 2018 	
character=Bar Patron	name=Ray Dudley	episodes=1 episode, 2018 	
character=Castle Rock Resident	name=Morgan Sessoms	episodes=1 episode, 2018 	
character=Shawshank Inmate	name=Weverton Alves	episodes=1 episode, 2018 	
character=College Student	name=Lip Mangrum	episodes=1 episode, 2018 	
character=Nurse	name=Jorge Atehortua	episodes=1 episode, 2018 	
character=Maine Attorney	name=Ned Daly	episodes=1 episode, 2018 	
character=Shawshank Prisoner	name=Jason Crowell	episodes=1 episode, 2018 	
character=Bridesmaid	name=Ivy Ebanks	episodes=1 episode, 2018 	
character=Prisoner	name=William Allen	episodes=1 episode, 2018 	
character=Background	name=Kevin Dennis	episodes=1 episode, 2018 	
character=Warden	name=Christina Calvao	episodes=1 episode, 2018 	
character=Secretary	name=Christina Calvao	episodes=1 episode, 2018 	
character=Bar Patron	name=Anthony Andruss	episodes=1 episode, 2018 	
character=French Settler	name=Nadezhda Russo	episodes=1 episode, 2019 	
character=Parade Onlooker	name=Dennis Daniel	episodes=1 episode, 2019 	
character=Puritan	name=Becca Lerman	episodes=1 episode, 2019 	
character=Marstenite	name=Anne Reardon	episodes=1 episode, 2019 	
character=Marjorie	name=Maureen Keiller	episodes=1 episode, 2019 	
character=Police Officer	name=Cassidy Neal	episodes=1 episode, 2019 	
character=Castle Rock Citizen	name=Derek Mellor	episodes=1 episode, 2019 	
character=Canadian Border Guard	name=Robert Marsella	episodes=1 episode, 2019 	
character=French Settler	name=Katie Novak	episodes=1 episode, 2019 	
character=Corrupt Cop	name=Peter Morse	episodes=1 episode, 2019 	
character=Castle Rock Citizen	name=Rick Dumont	episodes=1 episode, 2019 	
character=Castle Rock Citizen	name=Nicole Despotopulos	episodes=1 episode, 2019 	
character=Marstenite	name=Charles Luise	episodes=1 episode, 2019 	
character=Marstenite Guard	name=Derek Pratt	episodes=1 episode, 2019 	
character=Boy in Settlement	name=Nathan Fisher	episodes=1 episode, 2019 	
character=Officer Woods	name=Ronnell Hunt	episodes=1 episode, 2019 	
character=Marsten Citizen	name=Kristina Byerley	episodes=1 episode, 2019 	
character=Puritan	name=Stephanie Vachon	episodes=1 episode, 2019 	
character=Castle Rock Citizen	name=Peter Brownlee	episodes=1 episode, 2019 	
character=Audience Member	name=Maximo Duran	episodes=1 episode, 2019 	
character=Castle Rock Citizen	name=Brahms Guignard	episodes=1 episode, 2019 	
character=Weepy Girl	name=Casey Monteiro	episodes=1 episode, 2019 	
character=Bar Patron	name=John Miranda	episodes=1 episode, 2019 	
character=Blood Donor	name=David L. Tamarin	episodes=1 episode, 2019 	
character=Dead Settler	name=Adam Teper	episodes=1 episode, 2019 	
character=Black Ops Soldier	name=Zak Watson Smith	episodes=1 episode, 2019 	
character=Castle Rock Citizen	name=David Arthur Sousa	episodes=1 episode, 2019 	
character=Mayor Dusty Coughlin	name=Daniel Burns	episodes=1 episode, 2019 	
character=Castle Rock Citizen	name=Erika Belisle	episodes=1 episode, 2019 	
character=Parade Musketeer	name=D.J. Shattine	episodes=1 episode, 2019 	
