# http://fitlayout.github.io/resource/art68 -> https://www.imdb.com/title/tt2661044/fullcredits/
character=Cartwig	name=Kelly Hu	episodes=1 episode, 2014 	
character=Cece	name=Kelly Hu	episodes=1 episode, 2014 	
character=Callie 	name=Kelly Hu	episodes=1 episode, 2014 	
character=Reese Lemkin	name=Lilah Fitzgerald	episodes=1 episode, 2014 	
character=Young Octavia	name=Olivia Steele Falconer	episodes=1 episode, 2014-2018 	
character=Tor Lemkin	name=Mac Brandt	episodes=1 episode, 2014 	
character=Nygel	name=Saidah Arrika Ekulona	episodes=1 episode, 2014 	
character=Caliban	name=Steve Bacic	episodes=1 episode, 2014 	
character=Derek	name=Wesley MacInnes	episodes=1 episode, 2014 	
character=Baby Hope	name=Elizabeth Truman	episodes=1 episode, 2020 	
character=Young Bellamy	name=Spencer Drever	episodes=1 episode, 2014 	
character=Trina	name=Chloe Babcook	episodes=1 episode, 2014 	
character=Del	name=Matteo Stefan	episodes=1 episode, 2014 	
character=Trapped Prisoner	name=Joshua Murdoch	episodes=1 episode, 2018 	
character=Reese	name=Adain Bradley	episodes=1 episode, 2020 	
character=Boy in Mask	name=Andrew Francis	episodes=1 episode, 2014 	
character=Council Member 	name=Freda Perry	episodes=1 episode, 2014 	
character=Pascal	name=Zach Martin	episodes=1 episode, 2014 	
character=Esop	name=Michael Jonsson	episodes=1 episode, 2017 	
character=Rock Line Ambassador	name=Diana Pavlovská	episodes=1 episode, 2017 	
character=Louis	name=Jesse James Pierce	episodes=1 episode, 2017 	
character=Captain Stevens	name=Bob Frazer	episodes=1 episode, 2018 	
character=August	name=Leo Howard	episodes=1 episode, 2020 	
character=Disciple	name=Klarc Jerome Wilson	episodes=1 episode, 2020 	
character=Dev	name=Kamran Fulleylove	episodes=1 episode, 2020 	
character=Kid 	name=Valerie Tian	episodes=1 episode, 2014 	
character=Red Eyed Boy	name=Osric Chau	episodes=1 episode, 2014 	
character=Grounder Tris	name=Alison Thornton	episodes=1 episode, 2014 	
character=Sienna	name=Luvia Petersen	episodes=1 episode, 2014 	
character=Apprentice	name=Birkett Turton	episodes=1 episode, 2014 	
character=Deek	name=Jonathan Alexander	episodes=1 episode, 2014 	
character=Arker	name=Sarwan Badesha	episodes=1 episode, 2014 	
character=Quint	name=Graham Shiels	episodes=1 episode, 2015 	
character=Shay	name=Nesta Cooper	episodes=1 episode, 2016 	
character=Commander Cole McAdams	name=Roger Cross	episodes=1 episode, 2016 	
character=Anat	name=Loyd Bateman	episodes=1 episode, 2017 	
character=Ilian	name=Jana Mitsoula	episodes=1 episode, 2017 	
character=Willa 	name=Jana Mitsoula	episodes=1 episode, 2017 	
character=Mother	name=Jana Mitsoula	episodes=1 episode, 2017 	
character=Mark	name=Peter Flemming	episodes=1 episode, 2017 	
character=Blue Cliff Warrior	name=Erin Aubrey	episodes=1 episode, 2017 	
character=Wayne Szybunka	name=Sean Owen Roberts	episodes=1 episode, 2018 	
character=Falk	name=Colin Decker	episodes=1 episode, 2018 	
character=Dr. Simone Lightbourne	name=Chelah Horsdal	episodes=1 episode, 2019 	
character=Tristan	name=Craig Arnold	episodes=1 episode, 2020 	
character=Disciple A	name=Matt Reimer	episodes=1 episode, 2020 	
character=Diggs	name=Giacomo Baessato	episodes=1 episode, 2014 	
character=Angry Parent 	name=Tatiana Turner	episodes=1 episode, 2014 	
character=Griff	name=Bart Anderson	episodes=1 episode, 2014 	
character=Young Clarke	name=Ella Pitkin	episodes=1 episode, 2014 	
character=Sergeant Lovejoy	name=Eric Breker	episodes=1 episode, 2015 	
character=Dr. Peri Gordon	name=Yasmine Aker	episodes=1 episode, 2016 	
character=Derrick	name=George Tchortov	episodes=1 episode, 2016 	
character=Maddie	name=Imogen Tear	episodes=1 episode, 2017-2018 	
character=Ice Nation Healer	name=Jason Vaisvila	episodes=1 episode, 2017 	
character=Ilian	name=Kyle Toy	episodes=1 episode, 2017 	
character=Brother	name=Kyle Toy	episodes=1 episode, 2017 	
character=Lead COG	name=Jesse Hutch	episodes=1 episode, 2019 	
character=Grace Cadogan	name=Crystal Balint	episodes=1 episode, 2020 	
character=Farmer	name=David Benedict Brown	episodes=1 episode, 2020 	
character=Laughing Kid	name=Murry Peeters	episodes=1 episode, 2014 	
character=Guard	name=Arleo Dordar	episodes=1 episode, 2015 	
character=Lexa	name=Arleo Dordar	episodes=1 episode, 2015 	
character=Grounder Warrior 	name=Jim Shield	episodes=1 episode, 2016 	
character=Tybe	name=Darcy Laurie	episodes=1 episode, 2017 	
character=Trikru Warrior	name=Paul C. Grenier	episodes=1 episode, 2017 	
character=Arker Woman	name=Victoria Katongo	episodes=1 episode, 2017 	
character=McCreary Guard 	name=Stew McLean	episodes=1 episode, 2018 	
character=Cooper Arker	name=Julien Hyacinthe	episodes=1 episode, 2018 	
character=Isaac	name=Jason Tremblay	episodes=1 episode, 2019 	
character=Joaquin	name=Jarryd Baine	episodes=1 episode, 2019 	
character=Zoran	name=Finn Wolfhard	episodes=1 episode, 2014 	
character=Guard	name=Dean Redman	episodes=1 episode, 2014 	
character=Horace	name=Victor Ayala	episodes=1 episode, 2014 	
character=Woman	name=Suzanne Ristic	episodes=1 episode, 2014 	
character=Tranq Gun Guard	name=Conrad Whitaker	episodes=1 episode, 2014 	
character=Young Wells	name=Ty Benefield	episodes=1 episode, 2014 	
character=Sobbing Kid	name=Jessica Racz	episodes=1 episode, 2014 	
character=Caspian	name=Christian Tessier	episodes=1 episode, 2015 	
character=Lily	name=Tiara Sorensen	episodes=1 episode, 2015 	
character=Little Girl On Bike	name=Ava Wilson	episodes=1 episode, 2016 	
character=Dakiva	name=Jennifer Cheon Garcia	episodes=1 episode, 2017 	
character=Young Trikru Boy	name=Ricardo Ortiz	episodes=1 episode, 2017 	
character=Sonya Hassler	name=Alika Autran	episodes=1 episode, 2017 	
character=Arker Man	name=Paul Dzenkiw	episodes=1 episode, 2017 	
character=Dead Grounder	name=Orve Coello	episodes=1 episode, 2017 	
character=First Prisoner	name=Todd Scott	episodes=1 episode, 2018 	
character=Large Warrior	name=Nick Marinos	episodes=1 episode, 2018 	
character=Dead Female Defector	name=Ally Kaczynski	episodes=1 episode, 2018 	
character=COG Warrior	name=Brea St. James	episodes=1 episode, 2019 	
character=Olivia	name=Doralynn Mui	episodes=1 episode, 2019 	
character=Bullied Child	name=Ben Daon	episodes=1 episode, 2019 	
