# http://fitlayout.github.io/resource/art40 -> https://www.imdb.com/title/tt0944947/fullcredits/
character=Marillion	name=Emun Elliott	episodes=4 episodes, 2011 	
character=Dickon Tarly	name=Tom Hopper	episodes=4 episodes, 2017 	
character=Qhorin Halfhand	name=Simon Armstrong	episodes=4 episodes, 2012 	
character=Lothar Frey	name=Daniel Tuite	episodes=4 episodes, 2016 	
character=Rorge	name=Andy Beckwith	episodes=4 episodes, 2012-2014 	
character=Lommy Greenhands	name=Eros Vlahos	episodes=4 episodes, 2011-2012 	
character=Matthos Seaworth	name=Kerr Logan	episodes=4 episodes, 2012 	
character=Armeca	name=Sahara Knite	episodes=4 episodes, 2011-2012 	
character=Royal Steward	name=Robert Sterne	episodes=4 episodes, 2011 	
character=Amory Lorch	name=Fintan McKeown	episodes=4 episodes, 2012 	
character=Black Lorren	name=Forbes KB	episodes=4 episodes, 2012 	
character=Biter	name=Gerard Jordan	episodes=4 episodes, 2012-2014 	
character=Young Ned	name=Robert Aramayo	episodes=4 episodes, 2016-2017 	
character=Baby Sam	name=William Nevan Wilson	episodes=4 episodes, 2016-2017 	
character=Baby Sam	name=James Robert Wilson	episodes=4 episodes, 2016-2017 	
character=Timett	name=Tobias Winter	episodes=1 episode, 2011-2012 	
character=Steelshanks Walton	name=Jamie Michie	episodes=1 episode, 2013 	
character=Izembaro	name=Richard E. Grant	episodes=3 episodes, 2016 	
character=Lady Crane	name=Essie Davis	episodes=3 episodes, 2016 	
character=Spice King	name=Nicholas Blane	episodes=3 episodes, 2012 	
character=Three-Eyed Raven	name=Max von Sydow	episodes=3 episodes, 2016 	
character=Syrio Forel	name=Miltos Yerolemou	episodes=3 episodes, 2011 	
character=Harrag	name=Brendan Cowell	episodes=3 episodes, 2017 	
character=Salladhor Saan	name=Lucian Msamati	episodes=3 episodes, 2012-2014 	
character=Daario Naharis	name=Ed Skrein	episodes=3 episodes, 2013 	
character=Greatjon Umber	name=Clive Mantle	episodes=3 episodes, 2011 	
character=Camello	name=Kevin Eldon	episodes=3 episodes, 2016-2017 	
character=Harald Karstark	name=Paul Rattray	episodes=3 episodes, 2016 	
character=Giant Wight 	name=Neil Fingleton	episodes=3 episodes, 2014-2017 	
character=Leaf	name=Kae Alexander	episodes=3 episodes, 2016 	
character=Bobono	name=Leigh Gill	episodes=3 episodes, 2016 	
character=Razdal mo Eraz	name=George Georgiou	episodes=3 episodes, 2013-2016 	
character=Lhara	name=Sarine Sofair	episodes=3 episodes, 2014-2015 	
character=Clarenzo	name=Rob Callender	episodes=3 episodes, 2016 	
character=Thenn Warg	name=Joseph Gatt	episodes=3 episodes, 2014 	
character=Mirri Maz Duur	name=Mia Soteriou	episodes=3 episodes, 2011 	
character=Polliver	name=Andy Kellegher	episodes=3 episodes, 2012-2014 	
character=Alton Lannister	name=Karl Davies	episodes=3 episodes, 2012 	
character=Khal Moro	name=Joseph Naufahu	episodes=3 episodes, 2016 	
character=Ned Umber	name=Harry Grasby	episodes=3 episodes, 2017-2019 	
character=Kraznys mo Nakloz	name=Dan Hildebrand	episodes=3 episodes, 2013 	
character=Mossador	name=Reece Noi	episodes=3 episodes, 2014-2015 	
character=White Walker	name=Ross Mullan	episodes=3 episodes, 2012-2014 	
character=Rattleshirt	name=Edward Dogliani	episodes=3 episodes, 2012-2013 	
character=Vala	name=Meena Rayann	episodes=3 episodes, 2015-2016 	
character=Daisy	name=Maisie Dee	episodes=3 episodes, 2012 	
character=Bathhouse Prostitute	name=Samantha Bentley	episodes=3 episodes, 2014-2015 	
character=Silk King	name=Slavko Juraga	episodes=3 episodes, 2012 	
character=Dothraki Bloodrider 	name=Diogo Sales	episodes=3 episodes, 2016 	
character=Dothraki Bloodrider 	name=Junade Khan	episodes=3 episodes, 2016 	
character=Musician 	name=Ragnar Þórhallsson	episodes=3 episodes, 2016 	
character=Musician 	name=Brynjar Leifsson	episodes=3 episodes, 2016 	
character=Musician 	name=Kristján Kristjánsson	episodes=3 episodes, 2016 	
character=Watchman 	name=Robert Fawsitt	episodes=3 episodes, 2016 	
character=Loyal Night	name=Robert Fawsitt	episodes=3 episodes, 2016 	
character=King	name=Xena Avramidis	episodes=3 episodes, 2014-2015 	
character=Landing Whore	name=Xena Avramidis	episodes=3 episodes, 2014-2015 	
character=Aggo	name=Chuku Modu	episodes=2 episodes, 2016 	
character=Frances	name=Annette Hannah	episodes=2 episodes, 2016-2017 	
character=Brothel Patron 	name=Derek Dubery	episodes=1 episode, 2015-2019 	
character=Hallyne	name=Roy Dotrice	episodes=2 episodes, 2012 	
character=Harry Strickland	name=Marc Rissmann	episodes=2 episodes, 2019 	
character=Illyrio Mopatis	name=Roger Allam	episodes=2 episodes, 2011 	
character=Smalljon Umber	name=Dean Jagger	episodes=2 episodes, 2016 	
character=Martha	name=Bronte Carmichael	episodes=2 episodes, 2019 	
character=Mord	name=Ciaran Bermingham	episodes=2 episodes, 2011 	
character=Aeron Greyjoy	name=Michael Feast	episodes=2 episodes, 2016 	
character=Dim Dalba	name=Murray McArthur	episodes=2 episodes, 2015-2016 	
character=Belicho Paenymion	name=Eddie Jackson	episodes=2 episodes, 2016 	
character=Fergus	name=Hara	episodes=2 episodes, 2019 	
character=Fergus	name=Seamus O	episodes=2 episodes, 2019 	
character=Gatins	name=Ricky Champ	episodes=2 episodes, 2016 	
character=Teela	name=Bea Glancy	episodes=2 episodes, 2019 	
character=Old Nan	name=Margaret John	episodes=2 episodes, 2011 	
character=The Night King	name=Richard Brake	episodes=2 episodes, 2014-2016 	
character=Morgan	name=Ian Davies	episodes=2 episodes, 2016 	
character=Woman with Elderly Parents	name=Lucy McConnell	episodes=2 episodes, 2019 	
character=Gregor 	name=Conan Stevens	episodes=2 episodes, 2011 	
character=Clegane	name=Conan Stevens	episodes=2 episodes, 2011 	
character=The Mountain	name=Conan Stevens	episodes=2 episodes, 2011 	
character=Thin Man	name=Oengus MacNamara	episodes=2 episodes, 2015 	
character=Lothar Frey	name=Tom Brooke	episodes=2 episodes, 2013 	
character=Bianca	name=Eline Powell	episodes=2 episodes, 2016 	
character=Vardis Egen	name=Brendan McCormack	episodes=2 episodes, 2011 	
character=Shagga	name=Mark Lewis Jones	episodes=2 episodes, 2011 	
character=Quaithe	name=Laura Pradelska	episodes=2 episodes, 2012 	
character=Margaery Tyrell Mummer	name=Eva Butterly	episodes=2 episodes, 2016 	
character=Old Woman	name=Stella McCusker	episodes=2 episodes, 2015 	
character=Baby Sam	name=Logan Watson	episodes=2 episodes, 2019 	
character=Hugh of the Vale	name=Jefferson Hall	episodes=2 episodes, 2011 	
character=Morag	name=Deirdre Monaghan	episodes=2 episodes, 2014 	
character=Todder	name=Will O	episodes=2 episodes, 2013-2015 	
character=Todder	name=Connell	episodes=2 episodes, 2013-2015 	
character=Willa	name=Karla Lyons	episodes=2 episodes, 2015 	
character=Johnna	name=Ali Lyons	episodes=2 episodes, 2015 	
character=Lady Kitty Frey	name=Lucy Hayes	episodes=2 episodes, 2016-2017 	
character=Baby Sam	name=Finn Watson	episodes=2 episodes, 2019 	
character=Lyanna Stark	name=Aisling Franciosi	episodes=2 episodes, 2016-2017 	
character=Village Woman	name=Eileen McCloskey	episodes=2 episodes, 2019 	
character=Farlen	name=Peter Ballance	episodes=2 episodes, 2012 	
character=Donnel Waynwood	name=Alisdair Simpson	episodes=2 episodes, 2014 	
character=Drennan	name=David James	episodes=2 episodes, 2012 	
character=Sissy	name=Jane McGrath	episodes=2 episodes, 2014 	
character=Dosh khaleen High Priestess	name=Souad Faress	episodes=2 episodes, 2016 	
character=Zanrush	name=Gerald Lepkowski	episodes=2 episodes, 2016 	
character=King	name=Emily Diamond	episodes=2 episodes, 2011 	
character=Landing Whore	name=Emily Diamond	episodes=2 episodes, 2011 	
character=Ornela	name=Hannah John-Kamen	episodes=2 episodes, 2016 	
character=Young Nan	name=Annette Tierney	episodes=2 episodes, 2016 	
character=Kurleket	name=Kevin Keenan	episodes=2 episodes, 2011 	
character=The Tickler	name=Anthony Morris	episodes=2 episodes, 2012 	
character=Winterfell Shepherd	name=Donagh Deeney	episodes=2 episodes, 2012 	
character=Ghita	name=Hattie Gotobed	episodes=2 episodes, 2015 	
character=Wyllis	name=Sam Coleman	episodes=2 episodes, 2016 	
character=Morgan	name=Chris Reilly	episodes=2 episodes, 2012-2014 	
character=Greizhen mo Ullhor	name=Clifford Barry	episodes=2 episodes, 2013 	
character=Mole	name=Lois Winstone	episodes=2 episodes, 2014 	
character=Town Whore	name=Lois Winstone	episodes=2 episodes, 2014 	
character=Willis Wode	name=Ryan McKenna	episodes=2 episodes, 2011 	
character=Goldcloak	name=Sam Callis	episodes=2 episodes, 2012 	
character=King	name=Reg Wayment	episodes=2 episodes, 2012 	
character=Landing Rioter 	name=Reg Wayment	episodes=2 episodes, 2012 	
character=Jacks	name=Paul Caddell	episodes=2 episodes, 2012 	
character=Ternesio Terys	name=Gary Oliver	episodes=2 episodes, 2014-2015 	
character=Moro	name=Fola Evans-Akingbola	episodes=2 episodes, 2016 	
character=Wife 	name=Fola Evans-Akingbola	episodes=2 episodes, 2016 	
character=Master Torturer	name=Michael Shelford	episodes=2 episodes, 2013 	
character=Great Master 	name=Emilio Doorgasingh	episodes=2 episodes, 2014 	
character=Young Ned Stark	name=Sebastian Croft	episodes=2 episodes, 2016 	
character=Young Rodrik Cassel	name=Fergus Leathem	episodes=2 episodes, 2016 	
character=Mhaegen	name=Antonia Christophers	episodes=2 episodes, 2011-2012 	
character=Mole	name=Lu Corfield	episodes=2 episodes, 2014 	
character=Town Madam	name=Lu Corfield	episodes=2 episodes, 2014 	
character=Lannister Captain	name=Aiden Condron	episodes=2 episodes, 2012 	
character=Quent	name=Aidan Crowe	episodes=2 episodes, 2012 	
character=Young Benjen Stark	name=Matteo Elezi	episodes=2 episodes, 2016 	
