# http://fitlayout.github.io/resource/art14 -> https://www.imdb.com/title/tt0773262/fullcredits/
character=Kelly	name=Nicole Garza	episodes=1 episode, 2008 	
character=Stan Beaudry	name=Ian Patrick Williams	episodes=1 episode, 2009 	
character=Fauzi	name=Juan Carlos Cantu	episodes=1 episode, 2010 	
character=Heavyset Man	name=Brad Grunberg	episodes=1 episode, 2010 	
character=Records Clerk	name=Derek Basco	episodes=1 episode, 2010 	
character=Large Woman	name=Donna Pieroni	episodes=1 episode, 2010 	
character=Rental Agent	name=Marty Ryan	episodes=1 episode, 2010 	
character=Receptionist	name=Dianna Miranda	episodes=1 episode, 2011 	
character=Uniform Cop	name=Cory Blevins	episodes=1 episode, 2011 	
character=Rubio	name=Jaime Gomez	episodes=1 episode, 2012 	
character=Benjamin Caffrey	name=Sherman Augustus	episodes=1 episode, 2012 	
character=Ron Galuzzo	name=Andrew Elvis Miller	episodes=1 episode, 2013 	
character=Off. Gerard	name=Scott MacDonald	episodes=1 episode, 2006 	
character=Detective	name=Marc Macaulay	episodes=1 episode, 2006 	
character=Scott Solomon	name=Kyle Lupo	episodes=1 episode, 2006 	
character=Allison	name=Kristen Kerr	episodes=1 episode, 2007 	
character=Headhunter	name=Matt Borlenghi	episodes=1 episode, 2007 	
character=Fiona Camp	name=Julie Ann Emery	episodes=1 episode, 2008 	
character=Zack	name=Todd Giebenhain	episodes=1 episode, 2008 	
character=Uniformed Officer	name=J. Rene Pena	episodes=1 episode, 2008 	
character=Det. Pratt	name=Frankie J. Allison	episodes=1 episode, 2008 	
character=Jeffries	name=Jeff Lindsay	episodes=1 episode, 2008 	
character=Neighbor	name=Frederick Koehler	episodes=1 episode, 2009 	
character=Special Agent Davis	name=Jim Metzler	episodes=1 episode, 2009 	
character=Nanny	name=Sarah Grant Brendecke	episodes=1 episode, 2009 	
character=Attorney	name=Mark Atteberry	episodes=1 episode, 2009 	
character=Landlady	name=Patrika Darbo	episodes=1 episode, 2010 	
character=Hot Blonde	name=Gina Comparetto	episodes=1 episode, 2010 	
character=Miranda	name=Marissa Skell	episodes=1 episode, 2010 	
character=Dr. Lorre	name=Kim Robillard	episodes=1 episode, 2010 	
character=Vendor	name=Joseph Bertót	episodes=1 episode, 2010 	
character=Dr. Trent Casey	name=Alex Hyde-White	episodes=1 episode, 2011 	
character=Norm	name=Scott Michael Campbell	episodes=1 episode, 2011 	
character=Grant	name=Elizabeth McLaughlin	episodes=1 episode, 2011 	
character=Daughter	name=Elizabeth McLaughlin	episodes=1 episode, 2011 	
character=Docent	name=Maree Cheatham	episodes=1 episode, 2011 	
character=Alberto	name=Al Vicente	episodes=1 episode, 2011 	
character=Peter	name=Christopher Frontiero	episodes=1 episode, 2011 	
character=Jenna	name=Maria Zyrianova	episodes=1 episode, 2012 	
character=Hostess	name=Meredith Giangrande	episodes=1 episode, 2012 	
character=Matthew Braun	name=Stewart Skelton	episodes=1 episode, 2012 	
character=Oleg Mickic	name=Karl Herlinger	episodes=1 episode, 2012 	
character=Kevin Wyman	name=David Chisum	episodes=1 episode, 2013 	
character=Armando	name=Rolando Molina	episodes=1 episode, 2013 	
character=Dr. Willis	name=Marc Gomes	episodes=1 episode, 2013 	
character=Fort Lauderdale Police Officer	name=Jennifer Christopher	episodes=1 episode, 2013 	
character=Debt Collector	name=Tom Schanley	episodes=1 episode, 2006 	
character=Paul	name=Tom Schanley	episodes=1 episode, 2006 	
character=Oscar	name=Cesar Flores	episodes=1 episode, 2006 	
character=Kara Simmons	name=Maureen Muldoon	episodes=1 episode, 2006 	
character=Reynolds	name=Travis Winfrey	episodes=1 episode, 2007 	
character=FBI Guy 1	name=Paul Keeley	episodes=1 episode, 2007 	
character=Caroline	name=Brooks Almy	episodes=1 episode, 2007 	
character=Lexi	name=Stephanie Y. Wang	episodes=1 episode, 2007 	
character=Lawyer	name=George Tovar	episodes=1 episode, 2007 	
character=Peters	name=Cedric Duplechain	episodes=1 episode, 2007 	
character=Police Officer	name=Ryan Smith	episodes=1 episode, 2007 	
character=Annoying Man	name=Claude Shires	episodes=1 episode, 2007 	
character=Kim	name=Miranda Frigon	episodes=1 episode, 2008 	
character=Ethan Turner	name=Larry Sullivan	episodes=1 episode, 2008 	
character=Teegan Campbell	name=Jelly Howie	episodes=1 episode, 2008 	
character=Sgt. Jesse Whitaker	name=James Moses Black	episodes=1 episode, 2008 	
character=Mrs. Owens	name=Dee Freeman	episodes=1 episode, 2008 	
character=Little Boy	name=Maximus Rodriguez	episodes=1 episode, 2008 	
character=Valet	name=Ethan Andrew	episodes=1 episode, 2008 	
character=Jill	name=Kathy Christopherson	episodes=1 episode, 2009 	
character=Nurse	name=Hayley DuMond	episodes=1 episode, 2009 	
character=Bob Moore	name=Andrew Thacher	episodes=1 episode, 2009 	
character=Teddy	name=Erica Shaffer	episodes=1 episode, 2010 	
character=Mom	name=Erica Shaffer	episodes=1 episode, 2010 	
character=FBI Agent Ross	name=Annabelle Gurwitch	episodes=1 episode, 2010 	
character=FBI Handler	name=Angel Oquendo	episodes=1 episode, 2010 	
character=Old Woman	name=Gina Morelli	episodes=1 episode, 2010 	
character=Marco Fuentes	name=Josue Aguirre	episodes=1 episode, 2010 	
character=Reporter 	name=Greg Hashimoto	episodes=1 episode, 2010 	
character=Laci	name=Cherilyn Wilson	episodes=1 episode, 2011 	
character=Ricardo	name=Carlos Moreno Jr.	episodes=1 episode, 2011 	
character=Erin Baer	name=Jamie Silberhartz	episodes=1 episode, 2011 	
character=Quinones	name=Jack Guzman	episodes=1 episode, 2012 	
character=Lead Forensic Tech	name=Nick Jaine	episodes=1 episode, 2012 	
character=First Deputy	name=A.J. Castro	episodes=1 episode, 2012 	
character=Andres	name=Ezequiel Stremiz	episodes=1 episode, 2012 	
character=Medical Examiner	name=Miguel Nájera	episodes=1 episode, 2012 	
character=Young Dexter	name=Nicholas Vigneau	episodes=1 episode, 2012 	
character=Nurse	name=Eileen Grubba	episodes=1 episode, 2013 	
character=Young Waitress	name=Christine Garver	episodes=1 episode, 2013 	
character=Boat Buyer	name=Kevin Brief	episodes=1 episode, 2013 	
character=Driver	name=Lewis T. Powell	episodes=1 episode, 2013 	
character=Social Worker	name=Amanda Wyss	episodes=1 episode, 2006 	
character=Computer Analyst	name=David Batiste	episodes=1 episode, 2006 	
character=Forbes	name=Damian Toofeek Raven	episodes=1 episode, 2006 	
character=Off. Simon	name=Justin Kane	episodes=1 episode, 2006 	
character=FBI Guy 2	name=Daya Vaidya	episodes=1 episode, 2007 	
character=Minister	name=Darryl Sivad	episodes=1 episode, 2007 	
character=Old Cuban Woman	name=Julia Vera	episodes=1 episode, 2007 	
character=Computer Tech	name=Elisa Perry	episodes=1 episode, 2007 	
character=Borelli	name=Alistair Tober	episodes=1 episode, 2007 	
character=Clemson Galt	name=Blake Gibbons	episodes=1 episode, 2008 	
character=Cal Rooney	name=Joel Weiss	episodes=1 episode, 2008 	
character=Norma	name=Ana Mercedes	episodes=1 episode, 2008 	
character=Nathan Marten	name=Jason Kaufman	episodes=1 episode, 2008 	
character=Crime Scene Officer	name=Walter Sawall	episodes=1 episode, 2008 	
character=Jesse Brightman	name=Matthew Fahey	episodes=1 episode, 2009 	
character=Doctor	name=D. David Morin	episodes=1 episode, 2009 	
character=Neighbor Kid	name=Clayton Mattingly	episodes=1 episode, 2009 	
character=Mr. Lee	name=Greg Joung Paik	episodes=1 episode, 2009 	
character=Mike	name=James MacPherson	episodes=1 episode, 2009 	
character=Detective	name=Eric George	episodes=1 episode, 2009 	
character=Paramedic	name=Terry Maratos	episodes=1 episode, 2010 	
character=Marcetti	name=Michael Gambino	episodes=1 episode, 2010 	
character=Uni 	name=Juan Garcia	episodes=1 episode, 2010 	
character=Second Mom	name=Henree Alyse	episodes=1 episode, 2010 	
character=Female Club-Goer	name=Randa Walker	episodes=1 episode, 2010 	
character=Gawker	name=Carlos Linares	episodes=1 episode, 2010 	
character=Nelson	name=Jack Axelrod	episodes=1 episode, 2011 	
character=Mills	name=Mark Gantt	episodes=1 episode, 2011 	
character=Lab Tech	name=Burl Moseley	episodes=1 episode, 2012 	
character=Second Deputy	name=Ariel Llinas	episodes=1 episode, 2012 	
