# http://fitlayout.github.io/resource/art59 -> https://www.imdb.com/title/tt2306299/fullcredits/
character=Hairdresser	name=Paul Ward	episodes=2 episodes, 2013-2016 	
character=First Viking	name=Adam Traynor	episodes=2 episodes, 2017-2020 	
character=Wigea	name=Jonathan Kemp	episodes=2 episodes, 2013 	
character=Thorvard	name=Richard Ashton	episodes=2 episodes, 2014 	
character=Black Cloaked Figure	name=André Eriksen	episodes=2 episodes, 2016-2017 	
character=Mannel	name=Paul Reid	episodes=2 episodes, 2017 	
character=Angrboda	name=Rosalie Connerty	episodes=2 episodes, 2016 	
character=Anna	name=Isabelle Connolly	episodes=2 episodes, 2020 	
character=Messenger 2	name=Michael Johnston	episodes=2 episodes, 2019 	
character=Nissa	name=Victoire Dauxerre	episodes=2 episodes, 2020 	
character=Dealer	name=Patrick O	episodes=2 episodes, 2020 	
character=Dealer	name=Donnell	episodes=2 episodes, 2020 	
character=Eastern Rus Noble	name=Lee Bennett	episodes=2 episodes, 2020 	
character=Pagan Priestess	name=Noni Stapleton	episodes=2 episodes, 2014-2017 	
character=Gudmund	name=David Sterne	episodes=2 episodes, 2019-2020 	
character=Saxon Warrior Scout 1	name=Dave Boyle	episodes=2 episodes, 2020 	
character=William Son of Rollo	name=Charles Last	episodes=2 episodes, 2016-2017 	
character=Princess Ellisif	name=Sophie Vavasseur	episodes=2 episodes, 2017 	
character=Osric	name=Seán McGillicuddy	episodes=2 episodes, 2020 	
character=Tarben	name=Oisin Murray	episodes=2 episodes, 2019-2020 	
character=Saxon Warrior Scout 2	name=Sean Condren	episodes=2 episodes, 2020 	
character=Orlyg	name=Tim Creed	episodes=2 episodes, 2020 	
character=Vik	name=Gary Buckley	episodes=2 episodes, 2017 	
character=Wolfgar	name=Steve Cash	episodes=2 episodes, 2020 	
character=Magician	name=Jonathan Gunning	episodes=2 episodes, 2015-2016 	
character=Earl Jorgensen	name=Jack Nolan	episodes=2 episodes, 2017 	
character=Judith	name=Caitlin Scott	episodes=2 episodes, 2017 	
character=Sister	name=Caitlin Scott	episodes=2 episodes, 2017 	
character=Abbot Lupus	name=Niall Cusack	episodes=2 episodes, 2016 	
character=French Archbishop	name=Tom Hopkins	episodes=2 episodes, 2016 	
character=Ivar	name=Maxim Boshell	episodes=2 episodes, 2016 	
character=Axe Boy	name=Maxim Boshell	episodes=2 episodes, 2016 	
character=Ivar Scout	name=Adam Behan	episodes=1 episode, 2019-2020 	
character=Horik	name=Steve Wilson	episodes=1 episode, 2013 	
character=Companion	name=Steve Wilson	episodes=1 episode, 2013 	
character=King 3	name=Ian Gerard Whyte	episodes=1 episode, 2020 	
character=Farmstead	name=Nigel O	episodes=1 episode, 2015 	
character=Farmstead	name=Neill	episodes=1 episode, 2015 	
character=Viking 	name=Neill	episodes=1 episode, 2015 	
character=Viking 	name=Nigel O	episodes=1 episode, 2015 	
character=Ragnars Recruit	name=Mark Kelvin Ryan	episodes=1 episode, 2014-2016 	
character=Executive Producer	name=Michael Hirst	episodes=1 episode, 2017 	
character=Lord Aethelwulf	name=David Murray	episodes=1 episode, 2013 	
character=Thorbjorn	name=Noah Syndergaard	episodes=1 episode, 2020 	
character=Old Man	name=Kevin Flood	episodes=1 episode, 2013 	
character=Hild	name=Anna Åström	episodes=1 episode, 2014 	
character=One-Eyed Man	name=Bryan Quinn	episodes=1 episode, 2019 	
character=Brondsted	name=Gerard McCarthy	episodes=1 episode, 2013 	
character=Ulf	name=Billy Gibson	episodes=1 episode, 2013 	
character=Gunnhild	name=Elizabeth Moynihan	episodes=1 episode, 2014 	
character=Pagan Priest	name=Alvaro Lucchesi	episodes=1 episode, 2014 	
character=Hoskuld	name=Josh Donaldson	episodes=1 episode, 2017 	
character=Young Boy	name=Gary Farrelly	episodes=1 episode, 2013 	
character=Saxon Officer	name=Paul Booth	episodes=1 episode, 2016 	
character=Chamberlain	name=Will Guppy	episodes=1 episode, 2019 	
