# http://fitlayout.github.io/resource/art28 -> https://www.imdb.com/title/tt2654620/fullcredits/
character=Bob Borgen	name=David Huband	episodes=1 episode, 2016 	
character=The Roman Master	name=Paul Aspland	episodes=1 episode, 2016 	
character=Guard	name=Jarrett Downey-Shaw	episodes=1 episode, 2016 	
character=Officer	name=JD Smith	episodes=1 episode, 2017 	
character=Jack Murphy	name=David Bronfman	episodes=1 episode, 2017 	
character=Dave the Commuter	name=James Eddy	episodes=1 episode, 2017 	
character=Peter Bishop	name=Andrew Divoff	episodes=1 episode, 2014 	
character=David	name=Ben Beauchemin	episodes=1 episode, 2014 	
character=Stephanie	name=Molly Kidder	episodes=1 episode, 2014 	
character=Albanian Farmer	name=Krikor Sagherian	episodes=1 episode, 2014 	
character=Grace Wu	name=Grace Lynn Kung	episodes=1 episode, 2015 	
character=Neil Archer	name=Bruce Hunter	episodes=1 episode, 2015 	
character=Train Worker	name=Lorne Hunter	episodes=1 episode, 2015 	
character=Braden	name=Christopher Jacot	episodes=1 episode, 2016 	
character=Female Cop	name=Allison Wilson-Forbes	episodes=1 episode, 2016 	
character=Night Patrol 1	name=Matthew Binkley	episodes=1 episode, 2016 	
character=Yoga Mom Strigoi	name=Jessica Embro	episodes=1 episode, 2016 	
character=Officer	name=Derek Barnes	episodes=1 episode, 2017 	
character=Cather	name=Jarrod MacLean	episodes=1 episode, 2017 	
character=Brian	name=Cody Ray Thompson	episodes=1 episode, 2014 	
character=Flaxton 	name=Barry Flatman	episodes=1 episode, 2014 	
character=Regis CEO	name=Barry Flatman	episodes=1 episode, 2014 	
character=Beverly	name=Theresa Tova	episodes=1 episode, 2014 	
character=Albanian Boy	name=Luca Policelli	episodes=1 episode, 2014 	
character=Helga Richtler	name=Julie Engelbrecht	episodes=1 episode, 2015 	
character=Jimmy Wu	name=Ho Chow	episodes=1 episode, 2015 	
character=Cole	name=Blake Mawson	episodes=1 episode, 2015 	
character=Romani Father	name=Omar Alex Khan	episodes=1 episode, 2015 	
character=Captain James Bonner	name=Tim Post	episodes=1 episode, 2016 	
character=Vex	name=Michael Chwastiak	episodes=1 episode, 2016 	
character=Holmes 	name=Cam Fergus	episodes=1 episode, 2016 	
character=Navy Seal	name=Cam Fergus	episodes=1 episode, 2016 	
character=Technician	name=Karen Jewels	episodes=1 episode, 2016 	
character=Terkel	name=Adam Butcher	episodes=1 episode, 2017 	
