# http://fitlayout.github.io/resource/art85 -> https://www.imdb.com/title/tt2442560/fullcredits/
character=Antonio	name=Andreas Muñoz	episodes=1 episode, 2017 	
character=Boat Puller	name=Marcus Langford	episodes=1 episode, 2017 	
character=Stratford Barman	name=Rob Mitchell-James	episodes=1 episode, 2017 	
character=Female officer	name=Gemma Layton	episodes=1 episode, 2017 	
character=Foreman	name=Joe Osborne	episodes=1 episode, 2017 	
character=Custom Officer	name=Neil Swift	episodes=1 episode, 2017 	
character=Customs officer	name=Matt Emery	episodes=1 episode, 2017 	
character=Michael	name=Andrew Caley	episodes=1 episode, 2017 	
character=Nurse	name=Valentina Petito	episodes=1 episode, 2017 	
character=Josef Jesus	name=Israel Cortes	episodes=1 episode, 2017 	
character=Caddie	name=Aidan Rawnsley	episodes=1 episode, 2017 	
character=Spotted Dog barman	name=Lee Toomes	episodes=1 episode, 2017 	
character=Women	name=Jennifer James	episodes=1 episode, 2019 	
character=Finn	name=Jennifer James	episodes=1 episode, 2019 	
character=Policeman	name=Eric Campbell	episodes=12 episodes, 2013-2014 	
character=Nipper	name=Matthew Postlethwaite	episodes=9 episodes, 2013-2014 	
character=Henry	name=Jeffrey Postlethwaite	episodes=9 episodes, 2013-2014 	
character=Billy Lovelock	name=Jack Hartley	episodes=6 episodes, 2013 	
character=Special Policeman	name=Paul Chadwick	episodes=6 episodes, 2013 	
character=Boxing Guest	name=Richard Price	episodes=6 episodes, 2016-2022 	
character=Salamon Gang Member	name=Bernie Phillips	episodes=6 episodes, 2016 	
character=Club Patron	name=William Atkinson	episodes=5 episodes, 2013-2019 	
character=Labourer	name=Pete Szoradi	episodes=5 episodes, 2013-2014 	
character=Abbey Heath	name=Allan Hopwood	episodes=5 episodes, 2013-2014 	
character=Billy Lovelock	name=Tim Kinneally	episodes=5 episodes, 2013-2014 	
character=Communist	name=Nick Owenford	episodes=4 episodes, 2013-2016 	
character=Special Policeman	name=Alan Bentley	episodes=3 episodes, 2013 	
character=Neighbour	name=Nicola-Jayne Wells	episodes=3 episodes, 2014-2016 	
character=Police Officer	name=Luke Delaney	episodes=3 episodes, 2014 	
character=Chauffeur	name=Brian Woodward	episodes=3 episodes, 2014 	
character=Solomons Gang Member	name=Tony Fillingham	episodes=3 episodes, 2014 	
character=Policeman	name=Jonathan Sisson	episodes=3 episodes, 2014 	
character=Passerby	name=David Charles-Cully	episodes=3 episodes, 2016-2017 	
character=Tom Foundry Worker	name=Russ Booth	episodes=2 episodes, 2013 	
character=Police Superintendant	name=Neil Broome	episodes=2 episodes, 2013 	
character=Communist Worker	name=Liam Tulley	episodes=2 episodes, 2013 	
character=Watery Lane Resident	name=Bianca Rudman	episodes=2 episodes, 2013 	
character=Museum Visitor	name=Heather Newland	episodes=2 episodes, 2013 	
character=Assassin 1	name=Adam Weldrick	episodes=2 episodes, 2014-2019 	
character=Maid	name=Jennifer Hulman	episodes=2 episodes, 2014 	
character=Eden Club Member	name=Sam Wright	episodes=2 episodes, 2014 	
character=Peaky Gang	name=Steven Peace	episodes=2 episodes, 2014 	
character=Russian Girl	name=Stacey Lynn Crowe	episodes=2 episodes, 2016-2022 	
character=Dignitary	name=Phil Tillott	episodes=2 episodes, 2016-2017 	
character=Assassin	name=Gianni McLaughlin	episodes=2 episodes, 2017 	
character=Peaky Gang Member	name=Lawrence Grugeon	episodes=2 episodes, 2017 	
character=Captain Swing Men	name=Stephen Seal	episodes=2 episodes, 2019 	
character=Dockhand	name=James Jaysen Bryhan	episodes=1 episode, 2013 	
character=Officer	name=Brien	episodes=1 episode, 2013 	
character=Officer	name=Hugh O	episodes=1 episode, 2013 	
character=Prostitute	name=Alison Harris	episodes=1 episode, 2013 	
character=Policeman	name=Ernest Vernon	episodes=1 episode, 2013 	
character=Local Resident	name=Margaret Wheldon	episodes=1 episode, 2013 	
character=Jockey	name=Richard Blackburn	episodes=1 episode, 2013 	
character=Busby Showgirl	name=Katie Derry	episodes=1 episode, 2013 	
character=Policeman	name=Stephen Mosley	episodes=1 episode, 2013 	
character=Beggar	name=Kevin Knox	episodes=1 episode, 2013 	
character=Busby Showgirl	name=Jade Phipps	episodes=1 episode, 2013 	
character=Police Officer	name=Robert Rae-Lewis	episodes=1 episode, 2013 	
character=Beggar	name=Charlie Cook	episodes=1 episode, 2013 	
character=Gentleman	name=Martin Hammond	episodes=1 episode, 2013 	
character=Labourer	name=Calum O	episodes=1 episode, 2013 	
character=Labourer	name=Toole	episodes=1 episode, 2013 	
character=Gambler	name=Tom Raven	episodes=1 episode, 2013 	
character=Juggler	name=Kamil Lemie	episodes=1 episode, 2014 	
character=Derby Bartender	name=Cris Haris	episodes=1 episode, 2014 	
character=Stable Boy	name=Robert Davies	episodes=1 episode, 2014 	
character=Uniformed Police Officer	name=Wayne Devlin	episodes=1 episode, 2014 	
character=Barmaid	name=Linzi Gold	episodes=1 episode, 2014 	
character=Horse Auctioneer	name=William Bale	episodes=1 episode, 2014 	
character=Labourer	name=Craig Davies	episodes=1 episode, 2014 	
character=Dock Worker	name=Richard Douglas	episodes=1 episode, 2014 	
character=Betting Man	name=Michael Gartlan	episodes=1 episode, 2014 	
character=Billy Kitchen Man	name=Matthew Akers	episodes=1 episode, 2014 	
character=Sabini Gang Member	name=Dean Marshall	episodes=1 episode, 2014 	
character=Tipton Tunneller	name=Alex Jaep	episodes=1 episode, 2016 	
character=Police Officer	name=Kevin Smith	episodes=1 episode, 2016 	
character=Dinner Guest	name=Craig McGrath	episodes=1 episode, 2016 	
character=Party Guest	name=Michael Faulkner	episodes=1 episode, 2016 	
character=Chef	name=Joseph Long	episodes=1 episode, 2017 	
character=Heavy	name=Craig Douglas	episodes=1 episode, 2017 	
character=Prostitute	name=Emily Gray	episodes=1 episode, 2017 	
character=Communist	name=Christian Thorpe	episodes=1 episode, 2017 	
character=Crowd Communist	name=Dan McGee	episodes=1 episode, 2017 	
character=Peaky 1	name=Simon Kerrison	episodes=1 episode, 2017 	
character=Factory Worker	name=Toby Armour	episodes=1 episode, 2017 	
character=Waiter	name=Richard Varley	episodes=1 episode, 2017 	
character=Prison Guard with Papers	name=Anthony K. Green	episodes=1 episode, 2017 	
character=Digbeth Jew	name=Darryl Bradford	episodes=1 episode, 2019 	
character=Detroit Male	name=Manoj Anand	episodes=1 episode, 2019 	
character=Irish Tinker	name=Robert Ryan	episodes=1 episode, 2019 	
character=Detroit Female	name=Amrita Jazzmyn	episodes=1 episode, 2019 	
character=Mother	name=Jacqueline Foster	episodes=1 episode, 2019 	
character=Peter	name=Jacqueline Foster	episodes=1 episode, 2019 	
character=Detroit Female	name=Kas Meghani	episodes=1 episode, 2019 	
character=Irish Traveller	name=Keith Lomas	episodes=1 episode, 2019 	
character=Detroit Male	name=Arun Kapur	episodes=1 episode, 2019 	
character=Anti-fascist Protestor	name=Antony Barlow	episodes=1 episode, 2019 	
character=Member of Parliament	name=David Price	episodes=1 episode, 2019 	
character=Policeman	name=David Aspinall	episodes=1 episode, 2019 	
character=Female rally protestor	name=Adele Lupton	episodes=1 episode, 2019 	
character=Gypsy at Dog Fight	name=Paul Day	episodes=1 episode, 2019 	
character=Far Right Protester	name=Thomas J Powell	episodes=1 episode, 2019 	
character=Detroit Female	name=Danuta Morgan	episodes=1 episode, 2019 	
character=Bentley Driver 	name=Tom Oakley	episodes=1 episode, 2022 	
character=Jewish Man	name=Colin Murtagh	episodes=1 episode, 2022 	
character=Ruby	name=Kevin Jay-Greenwood	episodes=1 episode, 2022 	
character=Priest	name=Kevin Jay-Greenwood	episodes=1 episode, 2022 	
character=Catholic Priest	name=Leslie Davidoff	episodes=1 episode, 2022 	
character=Docker	name=Mario Torella	episodes=1 episode, 2022 	
character=Scouse docker	name=Ray F. Beard	episodes=1 episode, 2022 	
character=Docker	name=Daniel McMillon	episodes=1 episode, 2022 	
