# http://fitlayout.github.io/resource/art22 -> https://www.imdb.com/title/tt2879552/fullcredits/
character=ND Driver	name=Chris Gleason	episodes=5 episodes, 2016 	
character=Galaxie Driver	name=Paul Heckmann	episodes=3 episodes, 2016 	
character=Dallas Dignitary	name=Dave Reachill	episodes=2 episodes, 2016 	
character=Bill Newman	name=Matthew Thornton	episodes=2 episodes, 2016 	
character=Factory Worker	name=Scott C Wilson	episodes=2 episodes, 2016 	
character=Dallas Pedestrian	name=Stan Taylor	episodes=2 episodes, 2016 	
character=Police officer	name=R.J. Taylor	episodes=2 episodes, 2016 	
character=Dancer	name=Briana Andrade-Gomes	episodes=1 episode, 2016 	
character=Patrick	name=Max Silvestri	episodes=1 episode, 2016 	
character=Jackie Kennedy	name=Anna Vocino	episodes=1 episode, 2016 	
character=Agent Roy Kellerman	name=Jeff Caperton	episodes=1 episode, 2016 	
character=Dancing Student	name=Michel Issa Rubio	episodes=1 episode, 2016 	
character=Camera Man	name=Nick Brooks	episodes=1 episode, 2016 	
character=Pedestrian	name=Latrice Butts	episodes=1 episode, 2016 	
character=Assasination Spectator	name=Alex Ryan Brown	episodes=1 episode, 2016 	
character=News Reporter	name=James Larabee	episodes=1 episode, 2016 	
character=Ceremony Guest	name=Jill Morgan	episodes=1 episode, 2016 	
character=Nurse	name=Michelle Roy	episodes=1 episode, 2016 	
character=Dancer	name=Tanya Karn	episodes=1 episode, 2016 	
character=News Reporter	name=Dallas Wade	episodes=1 episode, 2016 	
character=Oak Cliff Resident	name=Ryan Bijan	episodes=1 episode, 2016 	
character=Dallas Dignitary	name=Mark Quigley	episodes=1 episode, 2016 	
character=Police Officer	name=Peter J. Calvin	episodes=1 episode, 2016 	
character=Student	name=Lindsay Christopher	episodes=1 episode, 2016 	
character=Anthony	name=Alek Cole	episodes=1 episode, 2016 	
character=Kennedy Crowd	name=Kelsie Key	episodes=1 episode, 2016 	
character=High School Dancer	name=Jason Huska	episodes=1 episode, 2016 	
character=Cowboy	name=Corey Chainey	episodes=1 episode, 2016 	
character=Press Reporter	name=Daniel B. Davis	episodes=1 episode, 2016 	
character=Audience Member	name=Daniel Whittle	episodes=1 episode, 2016 	
character=Auditorium Usher 	name=Randy Shoemake	episodes=1 episode, 2016 	
character=Dallas Cab Driver	name=Clay Dove	episodes=1 episode, 2016 	
character=Adrienne	name=TaKenya Banks	episodes=1 episode, 2016 	
character=Reporter	name=Greg Fallon	episodes=1 episode, 2016 	
character=Mary Moorman	name=Shelley Kaehr	episodes=1 episode, 2016 	
character=Campaign Supporter	name=Darren Sheehan	episodes=1 episode, 2016 	
character=Zapruder	name=Lisa Finan Rogers	episodes=1 episode, 2016 	
character=Assistant	name=Lisa Finan Rogers	episodes=1 episode, 2016 	
character=Kennedy Crowd	name=Raymond Curry	episodes=1 episode, 2016 	
character=Preppy Boy	name=Owen Lee	episodes=1 episode, 2016 	
character=Audience, background	name=Jules McClellan	episodes=1 episode, 2016 	
character=Pedestrian	name=Angela Ravitch	episodes=1 episode, 2016 	
character=Dallas Dignitary	name=Meredith Brumwell	episodes=1 episode, 2016 	
character=High School Dancer	name=Brandon Vignali	episodes=1 episode, 2016 	
character=Woman at Convention	name=Patricia Stubbs	episodes=1 episode, 2016 	
character=Spectator	name=Jenifer Noel	episodes=1 episode, 2016 	
character=Dallas Pedestrian	name=Misty Hayes	episodes=1 episode, 2016 	
