# http://fitlayout.github.io/resource/art19 -> https://www.imdb.com/title/tt0141842/fullcredits/
character=Elodi Colbert	name=Murielle Arden	episodes=3 episodes, 2002 	
character=Brien	name=Vincent Piazza	episodes=3 episodes, 2006-2007 	
character=Hernan O	name=Vincent Piazza	episodes=3 episodes, 2006-2007 	
character=Branca Libinsk	name=Elena Solovey	episodes=3 episodes, 2002 	
character=Dr. Richard Vogel	name=Michael Countryman	episodes=3 episodes, 2007 	
character=Noah Tannenbaum	name=Patrick Tully	episodes=3 episodes, 2001 	
character=Janelle Cammarata	name=Heidi Dippold	episodes=3 episodes, 2002-2007 	
character=Allegra Sacrimoni	name=Caitlin Van Zandt	episodes=3 episodes, 2006-2007 	
character=Catherine Sacrimoni	name=Cristin Milioti	episodes=3 episodes, 2006-2007 	
character=Dominic	name=Dominic Chianese Jr.	episodes=3 episodes, 2007 	
character=Santoro	name=Daniel P. Conte	episodes=3 episodes, 2007 	
character=Doc	name=Daniel P. Conte	episodes=3 episodes, 2007 	
character=Faustino 	name=Daniel P. Conte	episodes=3 episodes, 2007 	
character=Murf	name=Val Bisoglio	episodes=3 episodes, 2002 	
character=Mrs. Conte	name=Sylvia Kauders	episodes=3 episodes, 1999-2006 	
character=Miss Reykjavik	name=Tone Christensen	episodes=3 episodes, 2002 	
character=Miss Giaculo	name=Candy Trabuco	episodes=3 episodes, 1999-2002 	
character=FBI Tech 	name=Glenn Kessler	episodes=3 episodes, 2001 	
character=Gia Gaeta	name=Donna Smythe	episodes=3 episodes, 2000-2007 	
character=David Scatino	name=Robert Patrick	episodes=3 episodes, 2000 	
character=Warren	name=Stink Fisher	episodes=3 episodes, 2006-2007 	
character=Egon Kosma	name=Mark Karafin	episodes=3 episodes, 2001 	
character=Beth Kaplan	name=Tracey Silver	episodes=3 episodes, 2006-2007 	
character=Tom Amberson	name=Terence Winter	episodes=3 episodes, 2000-2004 	
character=Cozzarelli	name=Ralph Lucarelli	episodes=3 episodes, 2001-2004 	
character=Jason Evanina	name=Frank Fortunato	episodes=3 episodes, 2004 	
character=Agent Ron Gosling	name=Matt Pepper	episodes=3 episodes, 2006-2007 	
character=Teenage Tony Soprano	name=Danny Petrillo	episodes=2 episodes, 2004 	
character=Incident Biker	name=Jalil Jay Lynch	episodes=1 episode, 2000-2007 	
character=Annalisa	name=Sofia Milos	episodes=2 episodes, 2000 	
character=Victor Musto	name=Joe Penny	episodes=2 episodes, 2000 	
character=Monk 	name=Henry O	episodes=2 episodes, 2006 	
character=Bonnie DiCaprio	name=Johann Carlo	episodes=2 episodes, 1999 	
character=Valery	name=Vitali Baganov	episodes=2 episodes, 2001 	
character=Slava Malevsky	name=Frank Ciornei	episodes=2 episodes, 2001 	
character=Daniel Baldwin	name=Daniel Baldwin	episodes=2 episodes, 2007 	
character=Ronnie Capozza	name=Marissa Matrone	episodes=2 episodes, 2002 	
character=Eric	name=Phil Coccioletti	episodes=2 episodes, 1999 	
character=Christine Scatino	name=Marisa Redanty	episodes=2 episodes, 2000 	
character=Jonathan LaPaglia	name=Jonathan LaPaglia	episodes=2 episodes, 2007 	
character=Comedian	name=Ed Crasnick	episodes=2 episodes, 1999-2000 	
character=Monk 	name=Ho Chow	episodes=2 episodes, 2006 	
character=Young Livia Soprano	name=Laila Robins	episodes=2 episodes, 1999-2001 	
character=Sunshine	name=Paul Mazursky	episodes=2 episodes, 2000-2001 	
character=Carlo Renzi	name=Louis Crugnali	episodes=2 episodes, 2001 	
character=Alessandra	name=Aleksa Palladino	episodes=2 episodes, 2002-2004 	
character=Sandrine	name=Elaine del Valle	episodes=2 episodes, 1999 	
character=Gwen MacIntyre	name=Alison Bartlett	episodes=2 episodes, 2004 	
character=Cogliano	name=Armen Garo	episodes=2 episodes, 2007 	
character=Coco	name=Armen Garo	episodes=2 episodes, 2007 	
character=Salvatore 	name=Armen Garo	episodes=2 episodes, 2007 	
character=Edgar Ramirez	name=Felix Solis	episodes=2 episodes, 2000-2007 	
character=Betty Wolf	name=Susan Blommaert	episodes=2 episodes, 2006 	
character=Patrick Whalen	name=Paul Dano	episodes=2 episodes, 2002-2004 	
character=Russian Man	name=Sasha Nesterov	episodes=2 episodes, 1999-2000 	
character=Karen Baccalieri	name=Christine Pedi	episodes=2 episodes, 2002 	
character=Minn Matrone	name=Fran Anthony	episodes=2 episodes, 2002 	
character=Patrick Parisi	name=Daniel Sauli	episodes=2 episodes, 2007 	
character=Al Lombardo	name=Dennis Paladino	episodes=2 episodes, 2007 	
character=Cookie Cirillo	name=Anna Berger	episodes=2 episodes, 2002 	
character=Ramone	name=Adrian Martinez	episodes=2 episodes, 2000 	
character=Rita Lombardo	name=Phyllis Kay	episodes=2 episodes, 2007 	
character=Doctor	name=Seth Barrish	episodes=2 episodes, 2000-2007 	
character=Alan Ginsberg	name=Stewart J. Zully	episodes=2 episodes, 2002-2004 	
character=Eric DeBenedetto	name=Adam Mucci	episodes=2 episodes, 2006 	
character=Deanne Pontecorvo	name=Suzanne DiDonna	episodes=2 episodes, 2006 	
character=Ron Pearse	name=Brad Zimmerman	episodes=2 episodes, 2006 	
character=Male Anchor	name=Bobby Rivers	episodes=2 episodes, 1999-2001 	
character=Tina	name=Vanessa Ferlito	episodes=2 episodes, 2001-2004 	
character=Agent Smyj	name=Brian Smyj	episodes=2 episodes, 2001-2002 	
character=Anthony	name=Steve Santosusso	episodes=2 episodes, 1999-2002 	
character=Emil Kolar	name=Bruce Smolanoff	episodes=2 episodes, 1999 	
character=Eddie	name=Daniel London	episodes=2 episodes, 2002 	
character=Father Felix	name=Peter McRobbie	episodes=2 episodes, 2000-2001 	
character=Igor Parnasky	name=Igor Zhivotovsky	episodes=2 episodes, 2001 	
character=Agent Marquez	name=Gary Perez	episodes=2 episodes, 2000-2001 	
character=Caterina Cella	name=Anne Assante	episodes=2 episodes, 2001-2006 	
character=Mike Waldrup	name=Will Arnett	episodes=2 episodes, 2002 	
character=Janet Petit	name=Michelle Christian Corp	episodes=2 episodes, 2004 	
character=Italo	name=Carlo Giuliano	episodes=2 episodes, 2006-2007 	
character=John Stefano	name=Joey Perillo	episodes=2 episodes, 2007 	
character=Fanny	name=Marcia Haufrecht	episodes=2 episodes, 1999-2001 	
character=Justin Cifaretto	name=Dane Curley	episodes=2 episodes, 2002 	
character=Coach Goodwin	name=David Mogentale	episodes=2 episodes, 2001 	
character=Principal Cincotta	name=Daniel Oreskes	episodes=2 episodes, 2001 	
character=Debbie	name=Kelly Madison Kole	episodes=2 episodes, 2001 	
character=Dr. Harry Winer	name=Allen Enlow	episodes=2 episodes, 2004 	
character=Bobby Coniglio	name=Vito Antuofermo	episodes=2 episodes, 2000-2001 	
character=Dogsy	name=Kevin Interdonato	episodes=2 episodes, 2002 	
character=Fat Dom Gamiello	name=Tony Cucci	episodes=2 episodes, 2006 	
