# http://fitlayout.github.io/resource/art18 -> https://www.imdb.com/title/tt0904208/fullcredits/
character=Gus	name=Nick Steele	episodes=1 episode, 2008 	
character=Self	name=Phil Varone	episodes=1 episode, 2008 	
character=Steve the Regular Guy	name=Stephen Hale	episodes=1 episode, 2008 	
character=Annoying Hipster	name=Brett Gelman	episodes=1 episode, 2009 	
character=Lady Real Estate	name=Pamela Guest	episodes=1 episode, 2009 	
character=Veronica	name=Bridgetta Tomarchio	episodes=1 episode, 2009 	
character=Bouncer	name=Tim Sitarz	episodes=1 episode, 2009 	
character=Security Guard	name=Thom Khoury Williams	episodes=1 episode, 2009 	
character=Firedude	name=Greg Bond	episodes=1 episode, 2009 	
character=Marv the Mediator	name=Bruce Katzman	episodes=1 episode, 2009 	
character=Actress Karen	name=Dawn Olivieri	episodes=1 episode, 2011 	
character=Waitress	name=Angie Patterson Muto	episodes=1 episode, 2011 	
character=Patrol Officer	name=Casey Adams	episodes=1 episode, 2011 	
character=Set PA	name=Kelley Robins	episodes=1 episode, 2011 	
character=Mary	name=Gillian Vigman	episodes=1 episode, 2012 	
character=Bartender	name=Chris Gann	episodes=1 episode, 2013 	
character=Band Musician	name=Tree Adams	episodes=1 episode, 2013 	
character=Co-Pilot	name=Jack J. Bennett	episodes=1 episode, 2013 	
character=Cranky Woman	name=Sharon Angela	episodes=1 episode, 2014 	
character=Drunk Kid	name=Stephen Sowan	episodes=1 episode, 2007 	
character=Nurse	name=Sheri Moon Zombie	episodes=1 episode, 2008 	
character=Self	name=Lili Haydn	episodes=1 episode, 2008 	
character=Partygirl	name=Cristin Michele	episodes=1 episode, 2008 	
character=Sales Manager	name=Nicholas Massouh	episodes=1 episode, 2008 	
character=Cop 	name=David Haley	episodes=1 episode, 2008 	
character=Strapping Young Lad	name=Jules Theodore	episodes=1 episode, 2008 	
character=Waiter	name=Cory Knauf	episodes=1 episode, 2009 	
character=Jack	name=Brian Jarvis	episodes=1 episode, 2009 	
character=Young Husband	name=Sonny Kang	episodes=1 episode, 2009 	
character=Young Hollywood Douchebag 	name=Fahim Anwar	episodes=1 episode, 2011 	
character=Bailiff	name=Teddy Lane Jr.	episodes=1 episode, 2011 	
character=Detective 	name=Chuck Williams	episodes=1 episode, 2011 	
