# http://fitlayout.github.io/resource/art5 -> https://www.imdb.com/title/tt0410975/fullcredits/
character=Lazaro	name=Matt Winston	episodes=2 episodes, 2012 	
character=Greg Limon	name=Reed Diamond	episodes=2 episodes, 2012 	
character=Lydia Lindquist	name=Sarah Paulson	episodes=2 episodes, 2007-2011 	
character=Melissa	name=Lindsey Stoddart	episodes=2 episodes, 2011 	
character=Nurse	name=Jeremy Rowley	episodes=2 episodes, 2011-2012 	
character=Dana	name=Beth Littleford	episodes=2 episodes, 2011 	
character=Detective Burnett	name=Brett Cullen	episodes=2 episodes, 2004-2005 	
character=Allison Scavo	name=Lois Smith	episodes=2 episodes, 2010 	
character=Miss Charlotte	name=Stephanie Faracy	episodes=2 episodes, 2011 	
character=Mr. Hartley	name=Shawn Doyle	episodes=2 episodes, 2004-2005 	
character=Deirdre Taylor	name=Jolie Jenkins	episodes=2 episodes, 2005 	
character=Detective Foster	name=Matthew Glave	episodes=2 episodes, 2011 	
character=Chloe	name=Ruby Lewis	episodes=2 episodes, 2011 	
character=Jonathan Lithgow	name=John Newton	episodes=2 episodes, 2004-2005 	
character=Dr. Sicher	name=Gregg Daniel	episodes=2 episodes, 2004 	
character=Kendra Taylor	name=Heather Stephens	episodes=2 episodes, 2004-2005 	
character=Mr. Falati	name=Anthony Azizi	episodes=2 episodes, 2006 	
character=Lucy Blackburn	name=Lesley Boone	episodes=2 episodes, 2009 	
character=Mr. Steinberg	name=Mark L. Taylor	episodes=2 episodes, 2005 	
character=Rose Kemper	name=Gloria LeRoy	episodes=2 episodes, 2009 	
character=Derek Yeager	name=Evan Parke	episodes=2 episodes, 2010 	
character=Hector Sanchez	name=Rolando Molina	episodes=2 episodes, 2010 	
character=Dr. Berman	name=Miriam Flynn	episodes=2 episodes, 2007 	
character=Warren Schilling	name=Peter Onorati	episodes=2 episodes, 2008 	
character=Jean	name=Patrika Darbo	episodes=2 episodes, 2009-2012 	
character=Sylvia Greene	name=Melora Walters	episodes=2 episodes, 2007 	
character=Curtis Monroe	name=Michael Ironside	episodes=2 episodes, 2005-2006 	
character=Tammy Rowland	name=Michelle Pierce	episodes=2 episodes, 2006-2007 	
character=Rebecca Shepard	name=Jennifer Dundas	episodes=2 episodes, 2006 	
character=Shayla Grove	name=Megan Hilty	episodes=2 episodes, 2009 	
character=Dr. Bernstein	name=Ken Lerner	episodes=2 episodes, 2009 	
character=Frank Kaminsky	name=Larry Hagman	episodes=2 episodes, 2011 	
character=Mrs. Truesdale	name=Hurley	episodes=2 episodes, 2004-2005 	
character=Mrs. Truesdale	name=Shannon O	episodes=2 episodes, 2004-2005 	
character=Harvey Bigsby	name=Brian Kerwin	episodes=2 episodes, 2006 	
character=Reggie	name=Gary Anthony Williams	episodes=2 episodes, 2009 	
character=Ken	name=William Schallert	episodes=2 episodes, 2009 	
character=Jim Peterson	name=Edward Edwards	episodes=2 episodes, 2004-2005 	
character=Bill Pearce	name=Mark Deklin	episodes=2 episodes, 2006-2007 	
character=Dr. Barr	name=William Atherton	episodes=2 episodes, 2006 	
character=Michelle Downing	name=Jodi Carlisle	episodes=2 episodes, 2008 	
character=Dr. Joshua Dolan	name=Peter Birkenhead	episodes=2 episodes, 2008 	
character=Bruce	name=Christopher Rich	episodes=2 episodes, 2009-2010 	
character=Dr. Mary Wagner	name=Nancy Travis	episodes=2 episodes, 2010 	
character=Dr. Hill	name=Carlos Lacamara	episodes=2 episodes, 2009 	
character=Nurse 	name=Carlease Burke	episodes=2 episodes, 2004-2005 	
character=FBI Agent	name=Nigel Gibbs	episodes=2 episodes, 2004 	
character=Detective Romslow	name=Andy Umberger	episodes=2 episodes, 2005-2008 	
character=Jeff	name=Peter Jason	episodes=2 episodes, 2006-2007 	
character=Dr. Baron	name=Michael Holden	episodes=2 episodes, 2008-2010 	
character=Emily Portsmith	name=Julie McNiven	episodes=2 episodes, 2009 	
character=Detective Paul Bullock	name=Rick Otto	episodes=2 episodes, 2008 	
character=Mr. Stevens	name=Michael Bofshever	episodes=2 episodes, 2006 	
character=Tucker	name=John Bobek	episodes=2 episodes, 2007 	
character=Dr. Crane	name=James McDonnell	episodes=2 episodes, 2009-2010 	
character=Judy	name=Michelle Duffy	episodes=2 episodes, 2010-2011 	
character=Dr. Graham	name=Jane Leeves	episodes=2 episodes, 2010 	
character=Jimbo Rooney	name=Brent Briscoe	episodes=2 episodes, 2010 	
character=Nurse	name=Roz Witt	episodes=2 episodes, 2004-2005 	
character=Janie Peterson	name=Elizabeth Storm	episodes=2 episodes, 2004-2005 	
character=Renee	name=Mary Margaret Lewis	episodes=2 episodes, 2006-2007 	
character=Amanda	name=Julie White	episodes=2 episodes, 2006 	
character=Jerry the Coroner	name=Rick Fitts	episodes=2 episodes, 2006 	
character=Cab Driver	name=Casper Brindle	episodes=2 episodes, 2009-2011 	
character=Danny Farrel	name=Ridge Canipe	episodes=2 episodes, 2005-2007 	
character=Dr. Avedon	name=Richard Gilliland	episodes=2 episodes, 2010 	
character=Amy Pearce	name=Juliette Goglia	episodes=2 episodes, 2006 	
character=Jerome	name=Jeffrey Stubblefield	episodes=2 episodes, 2007 	
character=Detective Beckerman	name=John Lacy	episodes=2 episodes, 2004-2005 	
character=Toby	name=Michael Guarnera	episodes=2 episodes, 2007-2009 	
character=Evan Mayer	name=Sawyer Church	episodes=2 episodes, 2009 	
character=Kirstin	name=Cindy Lu	episodes=2 episodes, 2004-2009 	
character=Detective Sloan	name=Scott Allan Campbell	episodes=2 episodes, 2005 	
character=Oliver Weston	name=John Mariano	episodes=2 episodes, 2006 	
character=Edna	name=Susan Grace	episodes=2 episodes, 2010-2011 	
character=Iris Beckley	name=Ellen Crawford	episodes=2 episodes, 2010 	
character=Carol Prudy	name=Joyce Van Patten	episodes=2 episodes, 2005 	
character=Female Prison Guard	name=Angela Bullock	episodes=2 episodes, 2010-2011 	
character=Chad	name=William Brent	episodes=2 episodes, 2007 	
character=Nurse	name=Lynette DuPree	episodes=2 episodes, 2007 	
character=Nurse	name=Bonnie Hellman	episodes=2 episodes, 2009 	
character=Charlie	name=Quinton Medina	episodes=2 episodes, 2009 	
