# http://fitlayout.github.io/resource/art63 -> https://www.imdb.com/title/tt0106179/fullcredits/
character=Mr. Paulsen	name=Ben Cotton	episodes=2 episodes, 2018 	
character=Dyer	name=Ken Tremblett	episodes=2 episodes, 1994-1997 	
character=Defense Attorney	name=Meredith Bain Woodward	episodes=2 episodes, 1994-1996 	
character=Brother Wilton	name=Paul Batten	episodes=2 episodes, 1994-1996 	
character=Female Agent	name=Donna Yamamoto	episodes=2 episodes, 1995-1998 	
character=Aunt	name=Kate Robbins	episodes=2 episodes, 1995-1998 	
character=Lisa	name=Kate Robbins	episodes=2 episodes, 1995-1998 	
character=Detective	name=Stephen Dimopoulos	episodes=2 episodes, 1995-1996 	
character=Dr. Eric Ilaqua	name=Paul Raskin	episodes=2 episodes, 1995-1996 	
character=Susan Chambliss	name=Patricia Dahlquist	episodes=2 episodes, 1997 	
character=Base Cop	name=Christopher Wynne	episodes=2 episodes, 1999-2000 	
character=Dr. Lev	name=David Purdham	episodes=2 episodes, 2001 	
character=Deputy	name=David Cameron	episodes=2 episodes, 1993-1997 	
character=Carl Roosevelt	name=Alan Robertson	episodes=2 episodes, 1993-1996 	
character=Elizabeth	name=Lynda Boyd	episodes=2 episodes, 1993-1995 	
character=Bus Driver	name=Alvin Sanders	episodes=2 episodes, 1993-1995 	
character=Dr. Emile Linzer	name=Barry Greene	episodes=2 episodes, 1994-1997 	
character=Aide	name=Fulvio Cecere	episodes=2 episodes, 1994-1995 	
character=Bruce Bearfeld	name=Robert Moloney	episodes=2 episodes, 1995-1997 	
character=Federal Marshall	name=Tim Henry	episodes=2 episodes, 1995-1996 	
character=Day Care Operator	name=Jane Perry	episodes=2 episodes, 1996-1998 	
character=Prisoner	name=Stefan Arngrim	episodes=2 episodes, 1996 	
character=Principal	name=Jonathan Palmer	episodes=2 episodes, 2000 	
character=Barbara Beaumont	name=Fiona Vroom	episodes=2 episodes, 2018 	
character=Mr. Green	name=Zak Santiago	episodes=2 episodes, 2018 	
character=Dr. Laberge	name=John Maclaren	episodes=2 episodes, 1995-1996 	
character=Clerk	name=Ken Roberts	episodes=2 episodes, 1995 	
character=Coroner	name=Norman Armour	episodes=2 episodes, 1996-1997 	
character=Dr. Mary Speake	name=Denise Crosby	episodes=2 episodes, 2001 	
character=Dr. James Parenti	name=Steven Anderson	episodes=2 episodes, 2001 	
character=Robert Comer	name=Neal McDonough	episodes=2 episodes, 2002 	
character=Nurse Sandeep	name=Aliza Vellani	episodes=2 episodes, 2015-2016 	
character=Anna Fugazzi	name=Sheila Paterson	episodes=2 episodes, 1993-1997 	
character=Commanding Officer	name=Johnny Cuthbert	episodes=2 episodes, 1993-1994 	
character=Guard	name=John Payne	episodes=2 episodes, 1994-1995 	
character=Captain Roy Lacerio	name=James Leard	episodes=2 episodes, 1994-1995 	
character=Red Head Kid	name=Garvin Cross	episodes=2 episodes, 1995-1996 	
character=Swat Cop	name=Connell	episodes=2 episodes, 1997-1998 	
character=Swat Cop	name=Stuart O	episodes=2 episodes, 1997-1998 	
character=Man in Suit	name=Gardiner Millar	episodes=2 episodes, 1998-2015 	
character=JoAnne Fletcher	name=Nora Dunn	episodes=2 episodes, 1998 	
character=Agent Danny Mosley	name=Marc Gomes	episodes=2 episodes, 2000 	
character=Mr. Y	name=A.C. Peterson	episodes=2 episodes, 2018 	
character=Asst. Coroner	name=Ric Reid	episodes=2 episodes, 1993-1995 	
character=Agent Linda Caleca	name=Suleka Mathew	episodes=2 episodes, 1994-1996 	
character=Ted Bertram	name=Mark Acheson	episodes=2 episodes, 1996-2018 	
character=Coroner	name=Laurie Murdoch	episodes=2 episodes, 1996-1998 	
character=Detective Smith	name=Ian Robison	episodes=2 episodes, 1997-1998 	
character=Dmitri	name=Alex Shostak Jr.	episodes=2 episodes, 1998 	
character=Lorraine Kelleher	name=Janie Woods-Morris	episodes=2 episodes, 1993-1996 	
character=Kennedy	name=Gary Hetherington	episodes=2 episodes, 1993-1994 	
character=Clerk	name=BJ Harrison	episodes=2 episodes, 1994-1997 	
character=Bob	name=Tim Dixon	episodes=2 episodes, 1994-1996 	
character=Dr. Lorenz	name=Crystal Verge	episodes=2 episodes, 1994-1996 	
character=Local Cop	name=Paul Bittante	episodes=2 episodes, 1994-1996 	
character=Calusari 	name=George Josef	episodes=2 episodes, 1995-1998 	
character=Angie	name=Eileen Pedde	episodes=2 episodes, 1996-1998 	
character=Auntie Janet	name=Brenda McDonald	episodes=2 episodes, 1996-1998 	
