# http://fitlayout.github.io/resource/art20 -> https://www.imdb.com/title/tt2243973/fullcredits/
character=Mr. O	name=Duncan McLeod	episodes=1 episode, 2013 	
character=Mr. Murray	name=Adam Winlove-Smith	episodes=1 episode, 2013 	
character=Elderly Patient 	name=Margaret Kellins	episodes=1 episode, 2015 	
character=Elderly Patient 	name=Howard Swinson	episodes=1 episode, 2015 	
character=Young Dolarhyde	name=Devan Cohen	episodes=1 episode, 2015 	
character=Victim 	name=Christina Schimmel	episodes=2 episodes, 2014 	
character=Turner Kid 	name=Sydney Cross	episodes=1 episode, 2013 	
character=French Stewardess	name=Jessica Malka	episodes=1 episode, 2014 	
character=Agent at Table	name=James Chilli Chillingworth	episodes=1 episode, 2014 	
character=Victim	name=Sara Sue Vallee	episodes=1 episode, 2014 	
character=Eye Mural	name=Ryan Singh	episodes=1 episode, 2014 	
character=Victim 	name=Ryan Singh	episodes=1 episode, 2014 	
character=Law clerk	name=Nicole Babb	episodes=1 episode, 2014 	
character=Dinner Guest	name=Kashif Khan	episodes=1 episode, 2014 	
character=Parking Lot Attendant	name=Devon Hyland	episodes=1 episode, 2014 	
character=Defence Attorney	name=Howard Pont	episodes=1 episode, 2014 	
character=Dirty Italian Cop	name=Joel Labelle	episodes=1 episode, 2015 	
character=Castrato Singer	name=Aiden Glenn	episodes=1 episode, 2015 	
character=Bike Courier	name=Johnny Larocque	episodes=1 episode, 2015 	
character=Chloris	name=Brittany Starkman	episodes=1 episode, 2015 	
character=Stag Man	name=Clayton Gray II	episodes=1 episode, 2015 	
