# http://fitlayout.github.io/resource/art36 -> https://www.imdb.com/title/tt2707408/fullcredits/
character=Lagarto	name=Jefferson Paez	episodes=1 episode, 2015 	
character=Simon Gaviria	name=Samuel Peña	episodes=1 episode, 2015 	
character=Girl	name=Isabella Sierra	episodes=1 episode, 2016 	
character=Mr. Hernandez	name=Pablo Rodríguez	episodes=1 episode, 2016 	
character=Spotter 1	name=Miguel Martínez	episodes=1 episode, 2016 	
character=Alejandro	name=Herman Sanchez	episodes=1 episode, 2016 	
character=Rojas Man	name=Gustavo Salazar	episodes=1 episode, 2016 	
character=Maria Salcedo	name=Adriana Osorio	episodes=1 episode, 2017 	
character=Pancho	name=Juan Angulo	episodes=1 episode, 2017 	
character=Gunman	name=Juan Angulo	episodes=1 episode, 2017 	
character=Senator	name=Santiago Dorronsoro	episodes=1 episode, 2017 	
character=Dock Worker	name=Gabriel Perea	episodes=1 episode, 2017 	
character=Frankenstein	name=Hedras Urrego	episodes=1 episode, 2015 	
character=Juan Carlos 	name=Hedras Urrego	episodes=1 episode, 2015 	
character=Colombian Soldier	name=Wilderman García	episodes=1 episode, 2015 	
character=Cop	name=Diego Corredor	episodes=1 episode, 2015 	
character=Judge	name=Mike Morgan	episodes=1 episode, 2015 	
character=Diego	name=Jose Lombana	episodes=1 episode, 2016 	
character=Producer	name=Michel Ruben	episodes=1 episode, 2016 	
character=Chancellor Kohl	name=James Moore	episodes=1 episode, 2016 	
character=Old Man	name=Tiberio Rojas	episodes=1 episode, 2016 	
character=Mother	name=Sandra Ardila	episodes=1 episode, 2016 	
character=Maritza	name=Sandra Ardila	episodes=1 episode, 2016 	
character=Sub-Lieutenant	name=Carlos Peláez	episodes=1 episode, 2017 	
character=Soldier 	name=Cristian Camilo Rodríguez	episodes=1 episode, 2017 	
character=Judge	name=Paul Marks	episodes=1 episode, 2017 	
character=Stewardess	name=Nahara Riveros	episodes=1 episode, 2015 	
character=El Ronca	name=Daniel Infante	episodes=1 episode, 2015 	
character=Well Dressed Narco	name=Javier Tejerina	episodes=1 episode, 2015 	
character=Ticket Agent	name=Victoria Gaitán	episodes=1 episode, 2016 	
character=Jesus Castaño	name=Luis Enrique Gomez	episodes=1 episode, 2016 	
character=Young Staffer	name=Silvana Araoz	episodes=1 episode, 2016 	
character=Spotter 3	name=Sebastián Cruz	episodes=1 episode, 2016 	
character=Salesman	name=Luis Fernando Santos	episodes=1 episode, 2016 	
character=Bank President	name=Douglas Ceballos	episodes=1 episode, 2017 	
character=Prosecutor	name=Kateri Garcia	episodes=1 episode, 2017 	
character=Soldier 	name=Ronaldo Torres	episodes=1 episode, 2017 	
character=Doorman	name=Jimmy Cristancho López	episodes=1 episode, 2017 	
character=Presidential Page	name=Andres Salazar	episodes=1 episode, 2017 	
character=DEA Agent 	name=Steven Galarce	episodes=1 episode, 2015 	
character=Radio Girl	name=Mara Gutierrez	episodes=1 episode, 2015 	
character=Shoe Shine Boy	name=Mateo Camacho	episodes=1 episode, 2016 	
character=Security Guard 	name=Gustavo Andrade	episodes=1 episode, 2016 	
character=Raid Officer	name=Alvaro Rodriguez	episodes=1 episode, 2016 	
character=Aeronautica Civil Controller	name=Oscar Reyes	episodes=1 episode, 2016 	
character=Newswoman	name=Adriana Silva	episodes=1 episode, 2017 	
character=Front Desk Clerk	name=Alejandro Maya	episodes=1 episode, 2017 	
character=Hernán	name=Raul Tovar Salazar	episodes=1 episode, 2017 	
character=Soldier 	name=Juan Pablo Landaeta	episodes=1 episode, 2017 	
character=Pablo Sicario 5	name=Milton Lopez	episodes=1 episode, 2015 	
character=DEA Agent 	name=Timothy Jansen	episodes=1 episode, 2015 	
character=News Reporter	name=Maria Camila Rincón	episodes=1 episode, 2016 	
character=De Greiff	name=Beatriz Ramirez	episodes=1 episode, 2016 	
character=Secretary	name=Beatriz Ramirez	episodes=1 episode, 2016 	
character=Lufthansa Stewardess	name=Linda Patiño	episodes=1 episode, 2016 	
character=Young Recruit	name=Fernando Herrera	episodes=1 episode, 2016 	
character=Customs Officer	name=Carlos Carballo	episodes=1 episode, 2016 	
character=Agent Samuels	name=Tatu Jokila	episodes=1 episode, 2017 	
character=Driver	name=Juan David Pacheco	episodes=1 episode, 2017 	
character=Son	name=Manuel Vergel	episodes=1 episode, 2017 	
character=Inspector	name=Manuel Vergel	episodes=1 episode, 2017 	
character=Chilean Soldier	name=Gustavo Rincon	episodes=1 episode, 2015 	
character=Mom	name=Merena Demont	episodes=1 episode, 2016 	
character=Jairo	name=Merena Demont	episodes=1 episode, 2016 	
character=Pinzón	name=Edwin Garrido	episodes=1 episode, 2016 	
character=Secretary	name=Edwin Garrido	episodes=1 episode, 2016 	
character=Sicario	name=Yorneis García	episodes=1 episode, 2016 	
character=Blackie	name=Yorneis García	episodes=1 episode, 2016 	
character=Waiter	name=Juan Carlos Lesmes	episodes=1 episode, 2016 	
character=Young Sicario	name=Ernesto Ballén	episodes=1 episode, 2016 	
character=Embassy Security Guard	name=Raymundo Castillo	episodes=1 episode, 2016 	
character=Wife	name=Paola Caycedo	episodes=1 episode, 2017 	
character=Inspector	name=Paola Caycedo	episodes=1 episode, 2017 	
