# http://fitlayout.github.io/resource/art13 -> https://www.imdb.com/title/tt0903747/fullcredits/
character=Medical Technician	name=Juanita Trad	episodes=1 episode, 2008 	
character=Agent Buddy	name=Lawrence Varnado	episodes=1 episode, 2009 	
character=Nurse	name=Sheran Goodspeed Keyton	episodes=1 episode, 2009 	
character=Tio	name=Sheran Goodspeed Keyton	episodes=1 episode, 2009 	
character=GYN	name=Reis Myers McCormick	episodes=1 episode, 2009 	
character=Business Community Leader 	name=Richard Williams	episodes=1 episode, 2009 	
character=ABQ Detective 	name=Mark Sivertsen	episodes=1 episode, 2010 	
character=Cartel Gunman 	name=Toby Holguin	episodes=1 episode, 2010 	
character=Stripper 	name=Portia Cline	episodes=1 episode, 2010 	
character=Friendly Guy	name=Jesus Mayorga	episodes=1 episode, 2010 	
character=Client	name=Parker Sisty	episodes=1 episode, 2010 	
character=Saul	name=Parker Sisty	episodes=1 episode, 2010 	
character=Sexy Cartel Girl	name=Flora Amanda	episodes=1 episode, 2011 	
character=Female Homeowner	name=Delana Michaels	episodes=1 episode, 2011 	
character=Pediatric Nurse	name=T.C. Warner	episodes=1 episode, 2011 	
character=Laundry Woman 1	name=Celia Anaya	episodes=1 episode, 2011 	
character=Delores	name=Norma Maldonado	episodes=1 episode, 2012 	
character=Ed	name=Robert Forster	episodes=1 episode, 2013 	
character=Homeless Man	name=Jack Burning	episodes=1 episode, 2013 	
character=Cop 	name=Patricio Delgado	episodes=1 episode, 2013 	
character=Chemical Plant Guard	name=Matthew Page	episodes=1 episode, 2008 	
character=Sexy Neighbor	name=Linda Speciale	episodes=1 episode, 2008 	
character=Business Community Leader 	name=Daniel D. Halleck	episodes=1 episode, 2009 	
character=Narcocorridos Band 	name=Gabriel Berrelleza	episodes=1 episode, 2009 	
character=Restaurant Employee	name=Erin Miller-Gibbs	episodes=1 episode, 2009 	
character=ER Doctor 	name=Lora Martinez-Cunningham	episodes=1 episode, 2010 	
character=Cartel Gunman 	name=Eddie Perez	episodes=1 episode, 2010 	
character=ABQ Detective 	name=Chris Ranney	episodes=1 episode, 2010 	
character=Daughter	name=Lorél Medina	episodes=1 episode, 2010 	
character=Pa Kettle	name=Michael McCormick	episodes=1 episode, 2010 	
character=Deputy Kee	name=Jose Avila	episodes=1 episode, 2010 	
character=Operative	name=Kevin Wiggins	episodes=1 episode, 2011 	
character=Gus	name=Kevin Wiggins	episodes=1 episode, 2011 	
character=Delivery Man	name=Jefferson Arca	episodes=1 episode, 2011 	
character=Male Homeowner	name=Jonathan Richards	episodes=1 episode, 2011 	
character=Laundry Woman 2	name=Maria L. Pardo	episodes=1 episode, 2011 	
character=Fran	name=Debrianna Mansini	episodes=1 episode, 2012 	
character=Good Samaritan	name=Ryan Begay	episodes=1 episode, 2012 	
character=Homeless Man	name=Wayne Dehart	episodes=1 episode, 2013 	
character=Waiter	name=Alex Gianopoulos	episodes=1 episode, 2013 	
character=Customer	name=Millard Drexler	episodes=1 episode, 2013 	
character=Cop 	name=Carlos Telles	episodes=1 episode, 2013 	
character=Friend 	name=Jesus Ramirez	episodes=1 episode, 2008 	
character=Jock	name=Jesus Ramirez	episodes=1 episode, 2008 	
character=Prospective Buyer	name=Jacob O	episodes=1 episode, 2008 	
character=Prospective Buyer	name=Brien Mulliken	episodes=1 episode, 2008 	
character=Stew	name=Richard Christie	episodes=1 episode, 2009 	
character=Supermarket Clerk	name=Ramsey Williams	episodes=1 episode, 2009 	
character=Father	name=Mario Moreno	episodes=1 episode, 2010 	
character=Realtor	name=Frank Bond	episodes=1 episode, 2010 	
character=Ma Kettle	name=Kathy Rose Center	episodes=1 episode, 2010 	
character=Cop	name=J. Taylor	episodes=1 episode, 2010 	
character=OPR Official 	name=Steve Cormier	episodes=1 episode, 2010 	
