# http://fitlayout.github.io/resource/art74 -> https://www.imdb.com/title/tt0402711/fullcredits/
character=Detective Willet	name=Rhomeyn Johnson	episodes=2 episodes, 2005 	
character=Officer Brian Whistler	name=Michael Patrick McGill	episodes=2 episodes, 2007 	
character=Mary	name=Laura Kai Chen	episodes=2 episodes, 2007 	
character=Nancy Wilding	name=Khali Macintyre	episodes=2 episodes, 2007 	
character=Attorney Pepper Minkin	name=Paul Schackman	episodes=2 episodes, 2004-2008 	
character=Detective James Jacobs	name=Dennis Cockrum	episodes=2 episodes, 2004-2006 	
character=Atty. Tompkins	name=Helen Eigenberg	episodes=2 episodes, 2004-2005 	
character=A.D.A. Paul Smithie	name=Joe Conti	episodes=2 episodes, 2006-2008 	
character=Justice Ginsburg	name=Roz Witt	episodes=2 episodes, 2008 	
character=Justice Breyer	name=Stu Levin	episodes=2 episodes, 2008 	
character=Dr. Mahoney	name=Tom Knickerbocker	episodes=2 episodes, 2004-2007 	
character=Tito Perez	name=Aramis Knight	episodes=2 episodes, 2005 	
character=Patrice Kelly	name=Mare Winningham	episodes=2 episodes, 2007 	
character=Frances Stadler	name=Ellen Crawford	episodes=2 episodes, 2005 	
character=Judge James Billmeyer	name=Ray Laska	episodes=2 episodes, 2005 	
character=Attorney Braxton Mason	name=David Clennon	episodes=2 episodes, 2004-2008 	
character=Justice Kennedy	name=Walter Addison	episodes=2 episodes, 2008 	
character=Rick Guttman	name=Marty Lodge	episodes=2 episodes, 2006 	
character=Justice Thomas	name=Lee Duncan	episodes=2 episodes, 2008 	
character=Foreman	name=Ted Lyde	episodes=2 episodes, 2006 	
character=Clerk	name=Heidi Heller	episodes=2 episodes, 2004-2007 	
character=Attorney Cone	name=Ron Ostrow	episodes=2 episodes, 2005-2007 	
character=Marshall of the Court	name=Pamela Shaddock	episodes=2 episodes, 2008 	
character=Newscaster	name=Diane Kim	episodes=2 episodes, 2005 	
character=Bellows	name=Steve Seagren	episodes=2 episodes, 2004-2007 	
character=Officer James	name=Barry Sigismondi	episodes=2 episodes, 2005-2007 	
character=Jacqueline Ross	name=J.J. Boone	episodes=2 episodes, 2005-2008 	
character=M.E. Simmons	name=Craig Barnett	episodes=2 episodes, 2007-2008 	
character=Clerk	name=Mary Elizabeth Barrett	episodes=2 episodes, 2007 	
character=Jerry Austin	name=John Michael Higgins	episodes=1 episode, 2004 	
character=Dr. Alan Christie	name=Peter Gray Lewis	episodes=1 episode, 2008 	
character=Crane	name=Nicole Bilderback	episodes=1 episode, 2004 	
character=Secretary	name=Nicole Bilderback	episodes=1 episode, 2004 	
character=Dr. Timothy Wood	name=Rob Brownstein	episodes=1 episode, 2007 	
character=Helen Poole	name=Anita Finlay	episodes=1 episode, 2004 	
character=Atty. Smith	name=Kevin Cooney	episodes=1 episode, 2004-2008 	
character=Dr. George Murrow	name=Jim Ortlieb	episodes=1 episode, 2006 	
character=Foreman	name=Marques Johnson	episodes=1 episode, 2008 	
character=Judge Matsumura	name=Clyde Kusatsu	episodes=2 episodes, 2006 	
character=Foreman	name=Bob Rumnock	episodes=1 episode, 2005 	
character=Judge Isabel Fisher	name=Jenifer Lewis	episodes=2 episodes, 2007-2008 	
character=Security Guard	name=Derrick L. McMillon	episodes=1 episode, 2004-2005 	
character=Dr. David Cannon	name=Michael Kostroff	episodes=1 episode, 2005-2006 	
character=Detective	name=Blair Bess	episodes=2 episodes, 2004-2006 	
character=Attorney Shelby Morris	name=Ellen Bry	episodes=1 episode, 2006 	
character=Bailiff	name=C. Stephen Browder	episodes=1 episode, 2007 	
character=Foreman	name=Marco Martinez	episodes=2 episodes, 2006 	
character=Reporter	name=Sean Blodgett	episodes=1 episode, 2006 	
character=Clerk	name=Tim McFadyen	episodes=1 episode, 2006-2008 	
character=Chinese Businessman 	name=Ping Wu	episodes=2 episodes, 2008 	
character=Referee Jack	name=Damien Leake	episodes=1 episode, 2004-2006 	
character=Chinese Businessman 	name=Joey Yu	episodes=2 episodes, 2008 	
character=Chinese Businessman 	name=Peter Kim	episodes=2 episodes, 2008 	
character=Chinese Businessman 	name=Ewan Chung	episodes=2 episodes, 2008 	
